ID,Name,Classification per User,Provider Email,Date of Release,Consoles,Owners,Developers,Genres,Multiplayer Options,Online Features,Platforms,Modes,DLC Availability,Prices in dollars,Metacritic Scores,ESRB Content Ratings,System Requirements,Physical Releases,Awards
23,Twilight Saga Chronicles of Discovery,9,WanderersWhisper@outlook.com,2020-10-29,PlayStation,Square Enix,Bungie,Action,Couch Co-op,Season Pass,Wii U,Campaign,Expansion Pack,5.68,6,Mature,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Enhanced Edition,Best Visuals
24,Twilight Saga Mythos Ascendant,8,EchoingExplorer@gmail.com,2021-12-26,GameCube,Nintendo,Valve,Adventure,Online Multiplayer,Online Leaderboards,GameCube,Multiplayer,Available,10.0,43,Everyone 10+,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Gold Edition,Best Multiplayer Game
25,Dreamy Odyssey Chronicles of Discovery,10,EtherealEcho@gmail.com,2002-11-15,GameCube,Konami,Insomniac Games,Adventure,Competitive LAN,Server Browser,Nintendo 64,Tutorial,Season Pass,6.05,30,Everyone 10+,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Standard Edition,Fan Favorite
26,Cosmic Journey Shadows of Destiny,8,StarryVagabond@gmail.com,1986-06-02,Nintendo 64,Microsoft Studios,Nintendo EAD,Action,LAN Co-op,Streaming Integration,Nintendo 64,Offline,Paid DLC,9.29,86,Everyone 10+,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Anniversary Edition,Best Adventure Game
27,Cyber Quest Enigma Unleashed,6,WanderlustWanderer@outlook.com,1994-06-15,Nintendo Switch,Warner Bros. Interactive Entertainment,Kojima Productions,Adventure,Local Multiplayer,Cloud Saves,Nintendo DS,Story Mode,Available,10.0,70,Teen,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Steelbook Edition,Best Innovation
28,Ancient Chronicles Odyssey of the Ancients,9,WanderersWhisper@gov.com,1993-10-22,PlayStation,Sega,CD Projekt Red,Adventure,Online Co-op,Online Challenges,Nintendo DS,Story Mode,Season Pass,10.0,8,Everyone 10+,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Premium Edition,Best Narrative
29,Eternal Legend Celestial Rhapsody,5,WandererInWonderland@gmail.com,1986-08-31,Nintendo 64,Valve,Insomniac Games,Adventure,Online Co-op,Cloud Saves,Nintendo DS,Tutorial,Expansion Pack,5.0,49,Mature,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Premium Edition,Best Visuals
30,Twilight Saga Legacy of Light,9,WanderersWhisper@hotmail.com,1999-05-03,Sega Genesis,Bethesda Softworks,Naughty Dog,Action,Split Screen,User-generated Content,Nintendo Switch,Custom Mode,Available,6.16,17,Everyone,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Special Edition,Best Indie Game
31,Emerald Legends Legends Unbound,10,WanderlustDream@hotmail.com,2004-06-07,GameCube,Valve,Valve,Action,Competitive LAN,Live Events,Wii U,Offline,Season Pass,6.39,43,Everyone,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Platinum Hits,Best Innovation
32,Celestial Adventure Phoenix Reborn,1,TwilightTraveler@gmail.com,2023-04-26,PlayStation,Sony Interactive Entertainment,Square Enix,Action,Competitive Online,Online Chat,Nintendo 3DS,Practice Mode,Expansion Pack,10.0,18,Teen,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Day One Edition,Best Racing Game
33,Mystic Quest Legacy of Light,3,WanderersWhisper@yahoo.com,2003-04-16,Sega Genesis,Activision,Guerrilla Games,Adventure,Couch Multiplayer,Cross-platform Play,Nintendo 3DS,Online,Expansion Pack,5.29,30,Adults Only,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Enhanced Edition,Best Strategy Game
34,Abyssal Journey Origins Revealed,10,WanderersWhim@yahoo.com,1989-03-28,PlayStation,Rockstar Games,Square Enix,Adventure,Online Co-op,In-game Purchases,Game Boy Advance,Time Trial,Season Pass,10.0,89,Adults Only,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Steelbook Edition,Best Racing Game
35,Solar Odyssey Origins Revealed,9,ForestExplorer@hotmail.com,1986-02-07,PlayStation,Tencent Games,Respawn Entertainment,Adventure,Local Multiplayer,Online Chat,Nintendo Switch,Campaign,Available,5.34,2,Early Childhood,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Complete Edition,Best Adventure Game
36,Mythic Adventure Shadows of Destiny,6,TranquilTrekker@yahoo.com,2017-07-29,GameCube,Rockstar Games,CD Projekt Red,Action,Local Multiplayer,Social Media Integration,GameCube,Time Trial,Season Pass,5.0,77,Adults Only,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Gold Edition,Best Visuals
37,Eternal Legend Beyond the Horizon,5,WanderersWhim@hotmail.com,1995-01-19,Nintendo Switch,Nintendo,Blizzard Entertainment,Adventure,Online Co-op,Voice Chat,GameCube,Competitive,Planned,5.0,73,Adults Only,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Limited Edition,Best Game Design
38,Shadow Adventure Nexus Unveiled,3,WanderersWhisper@hotmail.com,1990-02-22,Sega Genesis,Valve,Rockstar North,Action,Couch Multiplayer,In-game Purchases,Game Boy Advance,Offline,Season Pass,5.0,74,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Platinum Hits,Best Soundtrack
39,Starlight Odyssey Heroes Reborn,2,WandererInWonderland@gmail.com,2001-06-05,GameCube,Square Enix,Rockstar North,Action,Local Co-op,Voice Chat,Wii U,Multiplayer,Not Available,6.64,46,Teen,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Limited Edition,Best Fighting Game
40,Frozen Journey Chronicles of Discovery,3,NomadicNebula@gmail.com,1984-04-06,Nintendo Switch,Sega,343 Industries,Action,Couch Multiplayer,Online Chat,Wii U,Multiplayer,Planned,5.0,37,Mature,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Game of the Year Edition,Most Anticipated
41,Celestial Adventure Elysium's Embrace,5,SereneNomad@outlook.com,1998-02-13,Nintendo 64,Bandai Namco Entertainment,Bioware,Action,Competitive Online,Matchmaking,Wii U,Cooperative,Available,9.25,64,Adults Only,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Premium Edition,Best Adventure Game
42,Elemental Saga Chronicles of Discovery,4,EtherealExplorer@hotmail.com,1980-02-22,Nintendo Switch,Capcom,Valve,Adventure,Local Multiplayer,Season Pass,GameCube,Competitive,Free DLC,10.0,71,Mature,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Steelbook Edition,Best Performance
43,Ancient Chronicles Origins Revealed,10,EnchantedExplorer@gov.com,1999-12-21,GameCube,Ubisoft,Bioware,Action,Couch Co-op,Season Pass,Wii,Competitive,Expansion Pack,8.01,23,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Collector's Edition,Best Action Game
44,Infinite Legends Nexus Unveiled,1,AuroraSeeker@hotmail.com,2019-05-01,Nintendo 64,Valve,Insomniac Games,Action,Online Co-op,Social Media Integration,Nintendo DS,Single Player,Free DLC,9.07,51,Mature,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Premium Edition,Best Visuals
45,Mystic Quest Nexus Unveiled,6,StarlightSurfer@outlook.com,2012-05-22,Sega Genesis,Take-Two Interactive,Capcom,Action,Competitive Online,Live Events,Game Boy Advance,Online,Paid DLC,8.52,30,Mature,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Ultimate Edition,Best Indie Game
46,Emerald Legends Infinity's Reach,2,AuroraSeeker@gov.com,1989-04-23,GameCube,Bandai Namco Entertainment,Bethesda Game Studios,Adventure,LAN Multiplayer,Online Chat,Wii U,Competitive,Free DLC,10.0,94,Teen,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Complete Edition,Best Soundtrack
47,Phantom Saga Astral Ascension,6,WanderersWhisper@gmail.com,2012-02-11,Nintendo Switch,Capcom,Infinity Ward,Action,Competitive Local,Online Leaderboards,Game Boy Advance,Custom Mode,Available,5.05,87,Everyone 10+,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Enhanced Edition,Best Soundtrack
48,Celestial Adventure Origins Revealed,7,DreamingDrifter@gmail.com,2005-07-02,GameCube,Take-Two Interactive,Ubisoft Montreal,Adventure,Local Multiplayer,Cross-platform Play,GameCube,Multiplayer,Season Pass,5.83,54,Mature,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Game of the Year Edition,Best Soundtrack
49,Dreamy Odyssey Astral Ascension,4,WanderlustWanderer@yahoo.com,2009-05-06,PlayStation,CD Projekt,Ubisoft Montreal,Action,Split Screen,Online Leaderboards,Nintendo 64,Survival,Not Available,8.72,15,Mature,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Complete Edition,Best Strategy Game
50,Enchanted Quest Elysium's Embrace,6,SecretGardenAdventurer@hotmail.com,1986-05-10,Sega Genesis,Take-Two Interactive,Bioware,Action,Cross-platform Multiplayer,Cross-platform Play,Wii U,Competitive,Expansion Pack,5.0,23,Everyone,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Signature Edition,Best Multiplayer Game
51,Ancient Chronicles Legends Unbound,1,EternalExplorer@hotmail.com,2021-04-05,Nintendo Switch,Electronic Arts,Square Enix,Action,Local Co-op,Online Tournaments,Wii U,Campaign,Planned,6.12,61,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Premium Edition,Best Narrative
52,Galactic Odyssey Twilight's Embrace,7,WanderlustDream@gov.com,2001-12-06,PlayStation,Microsoft Studios,Guerrilla Games,Action,Split Screen,Downloadable Content (DLC),Nintendo DS,Story Mode,Planned,10.0,63,Everyone,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Collector's Edition,Best Narrative
53,Starlight Odyssey Twilight's Embrace,5,EtherealExplorer@outlook.com,2012-07-30,GameCube,Capcom,Capcom,Adventure,Online Co-op,Online Leaderboards,Game Boy Advance,Survival,Planned,10.0,42,Everyone,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Steelbook Edition,Best Multiplayer Game
54,Forgotten Legends Shadows of Destiny,2,EtherealEcho@gov.com,2000-05-14,Nintendo Switch,Valve,Bethesda Game Studios,Adventure,Competitive LAN,Server Browser,GameCube,Survival,Available,10.0,78,Adults Only,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Signature Edition,Best RPG
55,Solar Odyssey Heroes Reborn,7,EtherealEcho@yahoo.com,2011-06-16,GameCube,Square Enix,Kojima Productions,Action,Competitive Online,Online Leaderboards,Nintendo 3DS,Cooperative,Available,5.0,55,Everyone,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Platinum Hits,Best Action Game
56,Dreamy Odyssey Beyond the Horizon,5,EnchantedEclipse@yahoo.com,2013-01-03,GameCube,Electronic Arts,Respawn Entertainment,Action,Competitive LAN,Cross-platform Play,Nintendo DS,Online,Free DLC,7.9,8,Mature,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Premium Edition,Best RPG
57,Lunar Chronicles Odyssey's End,10,EnchantedExplorer@gov.com,2023-09-19,Nintendo Switch,Rockstar Games,Nintendo EAD,Action,Online Co-op,Server Browser,Nintendo DS,Free Play,Free DLC,9.71,5,Teen,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Definitive Edition,Best Performance
58,Abyssal Journey Echoes of Eternity,6,TranquilWanderlust@gmail.com,2022-10-30,Nintendo 64,Sony Interactive Entertainment,Respawn Entertainment,Action,Split Screen,Downloadable Content (DLC),Game Boy Advance,Cooperative,Not Available,5.0,47,Everyone,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Limited Edition,Best Innovation
59,Abyssal Journey Apex of Adventure,10,WanderersWhim@outlook.com,1998-01-16,Nintendo Switch,Bandai Namco Entertainment,Bioware,Adventure,Couch Co-op,Cross-platform Play,Wii U,Online,Available,5.0,45,Adults Only,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Anniversary Edition,Best Innovation
60,Phantom Saga Legends Unbound,10,WhisperingWayfarer@yahoo.com,1991-01-15,PlayStation,Sony Interactive Entertainment,Epic Games,Adventure,Competitive Online,Cross-platform Play,Nintendo DS,Time Trial,Planned,9.21,55,Early Childhood,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Special Edition,Best Performance
61,Abyssal Journey Heroes Reborn,3,CosmicAdventurer@gmail.com,1995-11-05,PlayStation,Warner Bros. Interactive Entertainment,Infinity Ward,Action,Online Co-op,Server Browser,Nintendo DS,Tutorial,Available,7.19,37,Everyone,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Anniversary Edition,Best Innovation
62,Galactic Odyssey Apex of Adventure,1,WanderersWhim@gov.com,1987-01-21,Nintendo 64,Capcom,Bungie,Adventure,Split Screen,Live Events,Nintendo 3DS,Tutorial,Planned,5.0,89,Adults Only,"Minimum: Windows 10, Intel Core i5, 8 GB RAM, NVIDIA GeForce GTX 1060, 50 GB storage",Definitive Edition,Best Direction
63,Mythic Adventure Phoenix Reborn,7,StarlightSurfer@outlook.com,1987-10-30,Sega Genesis,Epic Games,Blizzard Entertainment,Adventure,Couch Co-op,Streaming Integration,Nintendo 64,Free Play,Free DLC,10.0,28,Early Childhood,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Definitive Edition,Fan Favorite
64,Mystic Quest Elysium's Embrace,4,AdventureEnthusiast@gmail.com,1989-01-11,Nintendo Switch,Ubisoft,Capcom,Adventure,Local Multiplayer,Cloud Saves,Nintendo DS,Offline,Expansion Pack,10.0,13,Mature,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Gold Edition,Best Game Design
65,Eternal Legend Elysium's Embrace,10,WhisperingWayfarer@yahoo.com,2009-03-29,PlayStation,Electronic Arts,Bethesda Game Studios,Action,Online Co-op,Season Pass,Wii U,Challenge Mode,Available,10.0,84,Early Childhood,"Recommended: macOS Monterey, Apple M1 chip, 16 GB RAM, AMD Radeon Pro 5600M, 100 GB storage",Special Edition,Best Performance
66,Mystic Quest Celestial Rhapsody,5,TranquilTrekker@gmail.com,2001-07-20,PlayStation,Bethesda Softworks,Guerrilla Games,Action,LAN Co-op,Online Events,Nintendo Switch,Cooperative,Available,5.0,44,Teen,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Signature Edition,Fan Favorite
67,Emerald Legends Echoes of Eternity,2,EnchantedExplorer@gmail.com,1988-03-15,Sega Genesis,Sega,Valve,Adventure,Cross-platform Multiplayer,In-game Purchases,Wii U,Multiplayer,Expansion Pack,9.36,64,Everyone 10+,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Signature Edition,Best Direction
68,Abyssal Journey Phoenix Reborn,5,WandererWithin@gov.com,1997-07-04,PlayStation,Konami,Bioware,Adventure,Competitive Local,Server Browser,Nintendo DS,Free Play,Planned,5.83,66,Early Childhood,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Platinum Hits,Fan Favorite
69,Phantom Saga Chronicles of Discovery,6,EnchantedEclipse@yahoo.com,2003-05-25,Sega Genesis,Ubisoft,Respawn Entertainment,Adventure,Competitive Local,Live Events,Wii,Custom Mode,Planned,9.49,97,Early Childhood,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Gold Edition,Best Multiplayer Game
70,Lunar Chronicles Odyssey of the Ancients,1,TwilightTraveler@gmail.com,1995-12-17,GameCube,Konami,Naughty Dog,Adventure,Competitive Local,Streaming Integration,Wii,Free Play,Not Available,10.0,21,Adults Only,"Recommended: Windows 11, Intel Core i7, 16 GB RAM, NVIDIA GeForce RTX 3060, 100 GB storage",Day One Edition,Best Game Design
71,Galactic Odyssey Nexus Unveiled,6,EnchantedExplorer@gov.com,1981-07-30,Nintendo 64,Electronic Arts,Nintendo EAD,Action,Competitive LAN,Streaming Integration,GameCube,Practice Mode,Season Pass,8.7,23,Adults Only,"Recommended: Ubuntu 22.04 LTS, AMD Ryzen 7, 16 GB RAM, NVIDIA GeForce RTX 3070, 100 GB storage",Ultimate Edition,Best Game Design
72,Forgotten Legends Phoenix Reborn,8,WanderersWhisper@outlook.com,1981-09-27,Nintendo Switch,Microsoft Studios,Bioware,Action,Online Multiplayer,In-game Purchases,Wii,Tutorial,Paid DLC,10.0,41,Everyone 10+,"Minimum: Ubuntu 20.04 LTS, AMD Ryzen 5, 8 GB RAM, AMD Radeon RX 580, 50 GB storage",Platinum Hits,Best Fighting Game
73,Mystic Quest Epoch of Legends,10,WanderersWhimsy@outlook.com,2005-06-05,Nintendo Switch,Warner Bros. Interactive Entertainment,Epic Games,Adventure,Online Multiplayer,Online Challenges,Nintendo DS,Online,Not Available,10.0,23,Everyone,"Minimum: macOS Catalina, Intel Core i3, 8 GB RAM, AMD Radeon RX 570, 50 GB storage",Premium Edition,Best Strategy Game
